Ano Exercício,Unidade Orçamentária (desc.),Programa (desc.),Ação (desc.),Plano Orçamentário,Plano Orçamentário (desc.),Natureza de Despesa (desc.),GND (desc.),Resultado Primário - Lei (desc.),Plano Interno (desc.),Dotação Atual,Autorizado,Empenhado,Empenhado Liquidado,Pago
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33300000 - Transferências a Estados e ao Distrito Federal,3 - Outras Despesas Correntes,2 - Primária discricionária,[Sem PI],"7,016,139.","4,545,138.77",0.,0.,0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33304100 - Contribuições,3 - Outras Despesas Correntes,2 - Primária discricionária,[Sem PI],0.,"2,471,000.",0.,0.,0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33304101 - ACRE,3 - Outras Despesas Correntes,2 - Primária discricionária,[Sem PI],0.,0.,"380,000.","380,000.",0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33304107 - BAHIA,3 - Outras Despesas Correntes,2 - Primária discricionária,[Sem PI],0.,0.,"225,000.","225,000.",0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33304113 - ESPIRITO SANTO,3 - Outras Despesas Correntes,2 - Primária discricionária,[Sem PI],0.,0.,"336,000.","336,000.",0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33304119 - MATO GROSSO,3 - Outras Despesas Correntes,2 - Primária discricionária,[Sem PI],0.,0.,"315,000.","315,000.",0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33304139 - RIO GRANDE DO SUL,3 - Outras Despesas Correntes,2 - Primária discricionária,[Sem PI],0.,0.,"400,000.","400,000.",0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33304145 - SAO PAULO,3 - Outras Despesas Correntes,2 - Primária discricionária,[Sem PI],0.,0.,"500,000.","500,000.",0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33304147 - SERGIPE,3 - Outras Despesas Correntes,2 - Primária discricionária,[Sem PI],0.,0.,"315,000.","315,000.",0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33400000 - Transferências a Municípios,3 - Outras Despesas Correntes,2 - Primária discricionária,[Sem PI],"2,085,628.","800,000.",0.,0.,0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33404100 - Contribuições,3 - Outras Despesas Correntes,2 - Primária discricionária,[Sem PI],0.,"1,285,628.76",0.,0.,0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33404129 - A MUNICIPIOS DO ESTADO DO PARANA,3 - Outras Despesas Correntes,2 - Primária discricionária,[Sem PI],0.,0.,"285,628.76","285,628.76",0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33404139 - A MUNICIPIOS DO ESTADO DO RIO GRANDE DO SUL,3 - Outras Despesas Correntes,2 - Primária discricionária,[Sem PI],0.,0.,"500,000.","500,000.",0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33500000 - Transferências a Instituições Privadas sem Fins Lucrativos,3 - Outras Despesas Correntes,2 - Primária discricionária,[Sem PI],"4,540,839.","1,634,400.",0.,0.,0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33504100 - Contribuições,3 - Outras Despesas Correntes,2 - Primária discricionária,[Sem PI],0.,"2,906,440.67",0.,0.,0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33504101 - INST.DE CARATER ASSIST.CULT.E EDUCACIONAL,3 - Outras Despesas Correntes,2 - Primária discricionária,[Sem PI],0.,0.,"2,906,440.67","2,906,440.67","421,585."
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33900000 - Aplicações Diretas,3 - Outras Despesas Correntes,2 - Primária discricionária,[Sem PI],"2,097,005.","967,114.05",0.,0.,0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33901400 - Diárias - Civil,3 - Outras Despesas Correntes,2 - Primária discricionária,CENTRO DE REFERÊNCIA EM DIREITOS HUMANOS,0.,"1,228.1",0.,0.,0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33901400 - Diárias - Civil,3 - Outras Despesas Correntes,2 - Primária discricionária,DESPESAS FINALISTICAS GERAL COM A ÁREA FIM,0.,"1,062.45",0.,0.,0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33901400 - Diárias - Civil,3 - Outras Despesas Correntes,2 - Primária discricionária,PROJ.CONSOLID.CENTRO REFER.DIR.HUMANOS DO CAR,0.,"1,864.1",0.,0.,0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33901400 - Diárias - Civil,3 - Outras Despesas Correntes,2 - Primária discricionária,SDH - TC Nº 03/11 - SNPDDH,0.,"4,181.5",0.,0.,0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33901400 - Diárias - Civil,3 - Outras Despesas Correntes,2 - Primária discricionária,[Sem PI],0.,"27,193.1",0.,0.,0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33901414 - DIARIAS NO PAIS,3 - Outras Despesas Correntes,2 - Primária discricionária,CENTRO DE REFERÊNCIA EM DIREITOS HUMANOS,0.,0.,"1,228.1","1,228.1","1,228.1"
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33901414 - DIARIAS NO PAIS,3 - Outras Despesas Correntes,2 - Primária discricionária,PROJ.CONSOLID.CENTRO REFER.DIR.HUMANOS DO CAR,0.,0.,"1,864.1","1,864.1","1,864.1"
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33901414 - DIARIAS NO PAIS,3 - Outras Despesas Correntes,2 - Primária discricionária,SDH - TC Nº 03/11 - SNPDDH,0.,0.,"4,181.5","4,181.5","4,181.5"
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33901800 - Auxílio Financeiro a Estudantes,3 - Outras Despesas Correntes,2 - Primária discricionária,CENTRO DE REFERÊNCIA EM DIREITOS HUMANOS,0.,"76,800.",0.,0.,0.
